title;link
Обещанный Неверленд;/anime/obeshchannyy-neverlend/
Оверлорд;/anime/overlord/
Отель Хазбин;/anime/otel-khazbin/
Очень Приятно, Бог;/anime/ochen-priyatno-bog/
Пламенная бригада..;/anime/plamennaya-brigada-pozharnykh/
Покемон;/anime/pokemon/
Сага о Винланде;/anime/saga-o-vinlande/
Салли Фейс;/anime/salli-feys/
Сейлор Мун;/anime/seylor-mun/
Семь Смертных..;/anime/sem-smertnykh-grekhov/
Семья шпиона;/anime/semya-shpiona/
Синий Экзорцист;/anime/siniy-ekzortsist/
Соник;/anime/sonik/
Темный Дворецкий;/anime/temnyy-dvoretskiy/
Тетрадь Смерти;/anime/tetrad-smerti/
Токийский Гуль;/anime/tokiyskiy-gul/
Торадора;/anime/toradora/
Тоторо;/anime/totoro/
Учитель-Мафиози..;/anime/uchitel-mafiozi-reborn/
Харухи Судзумии;/anime/kharukhi-sudzumii/
Хвост Феи;/anime/khvost-fei/
Хеллсинг;/anime/hellsing/
Хеталия;/anime/khetaliya/
Человек-бензопила;/anime/chelovek-benzopila/
Чёрный Клевер;/anime/chyernyy-klever/
Юри на Льду;/anime/yuri-na-ldu/
Ахегао;/anime/axerao/
BTS K-POP;/anime/bts-k-pop/
Cyberpunk 2077;/anime/cyberpunk-2077/
Detroit Become..;/anime/detroit-become-human/
Genshin Impact;/anime/genshin-impact/
Hunter x Hunter;/anime/hunter-x-hunter/
Nier Automata;/anime/nier-automata/
Overwatch;/anime/overwatch/
Skyrim;/anime/skyrim/
Witcher;/anime/witcher/
Манга 18+;/anime/manga-18/
